FEN,Move,Win Probability
2rr1nk1/p4pp1/1p2p2p/4P3/1QPP2q1/P7/5PBP/3RR1K1 b - - 0 25,"['d8d4', 'f8g6', 'h6h5', 'g4f5', 'g4h5', 'c8c7', 'd8d7', 'g8h8', 'g4g5', 'g4h4', 'g4f4', 'g4g6', 'f8h7', 'a7a5', 'd8e8', 'c8b8', 'g8h7', 'a7a6', 'b6b5', 'c8c6', 'f7f6', 'f8d7', 'g7g5', 'f7f5', 'g7g6', 'c8a8', 'c8c5', 'g4d4', 'c8c4', 'd8d5', 'd8d6', 'g4d1', 'g4g2', 'g4e2', 'g4f3', 'g4h3', 'g4e4', 'g4g3']","[0.7795341070238575, 0.589244688568345, 0.5883532029754936, 0.5874611371519987, 0.5874611371519987, 0.5820968656397246, 0.5803043837193158, 0.5613639348680176, 0.5613639348680176, 0.5540980866051488, 0.5504562746820834, 0.5486333135073832, 0.5422429789460687, 0.5422429789460687, 0.5275875538925041, 0.5266697440308632, 0.5202403732122675, 0.5165632973121441, 0.5156437324214209, 0.5147240615881282, 0.5036820134406647, 0.5027615319200139, 0.49631798655933523, 0.4843562675785791, 0.48343670268785593, 0.4659933421436654, 0.24681529249348733, 0.21296608731927869, 0.15918559583798003, 0.148174886276199, 0.13956021014527653, 0.1351970515980852, 0.1056839310673574, 0.10057629832289083, 0.09285968753405982, 0.08200253407846159, 0.07206698462118566, 0.07060348244255998]"
r5k1/pbq3pp/1pn2r2/6B1/4Q3/P4N2/1P3PPP/R4RK1 b - - 2 18,"['f6f8', 'c6e7', 'f6g6', 'f6f7', 'c6a5', 'c6d8', 'c6b8', 'f6f3', 'c6d4', 'g8h8', 'c6b4', 'f6d6', 'c7f7', 'c6e5', 'a8d8', 'c7e7', 'g8f8', 'c7d6', 'c7d7', 'a8f8', 'a8c8', 'c7c8', 'c7d8', 'a7a6', 'a7a5', 'a8b8', 'b6b5', 'h7h6', 'f6h6', 'f6f5', 'h7h5', 'a8e8', 'g7g6', 'b7a6', 'c7f4', 'g8f7', 'b7c8', 'f6f4', 'c7h2', 'c7b8', 'f6e6', 'c7g3', 'c7e5']","[0.3948139524217644, 0.38867247514924735, 0.38430712075371815, 0.3825661400242328, 0.3816967754233412, 0.3799603223030577, 0.3237883625149461, 0.22428615873700553, 0.21173437828081765, 0.20807056065774177, 0.18875753377152027, 0.1672300700782952, 0.1631679274437725, 0.16116682502020485, 0.16066965780092213, 0.15869338408054756, 0.1577126660012219, 0.15528242303659195, 0.15240657549097442, 0.15145771517415685, 0.148174886276199, 0.14540801215840354, 0.14540801215840354, 0.13911864088681591, 0.13867824357894337, 0.13433835352772516, 0.13348426760561977, 0.1322117556602187, 0.12043437276310126, 0.1139595988024229, 0.1135883369859218, 0.10673252134178429, 0.10533642481155803, 0.10327249441731556, 0.10293200474653547, 0.10259250923752877, 0.10157996710955025, 0.09958144717646433, 0.09410781540650409, 0.09071118696593633, 0.07305814559620055, 0.0718211393064348, 0.06660484252279597]"
5rk1/p1p2ppp/3b4/3p1P1q/3Nr3/2P1P3/PP1B2Q1/R4RK1 w - - 3 23,"['g1f2', 'g2h1', 'f1f4', 'f1f2', 'c3c4', 'd2e1', 'd4b5', 'f1f3', 'f5f6', 'a2a4', 'a2a3', 'a1c1', 'b2b4', 'a1e1', 'f1e1', 'a1b1', 'd4c6', 'b2b3', 'd4b3', 'd4c2', 'd4f3', 'd2c1', 'd4e2', 'f1d1', 'd4e6', 'a1d1', 'f1c1', 'g2g7', 'f1b1', 'g2h3', 'g2g3', 'g2f2', 'g2e2', 'g2g4', 'g2e4', 'g2f3', 'g2g6', 'g2h2', 'g2g5']","[0.6355251419984301, 0.5, 0.44135784741538037, 0.15820240791194307, 0.1491067941104216, 0.14864023737321475, 0.14495105737956576, 0.14495105737956576, 0.14358734593333494, 0.1369283400318172, 0.1369283400318172, 0.1369283400318172, 0.1364937770513217, 0.13305894980200939, 0.1288686029157785, 0.1284558117032647, 0.12519393136296175, 0.12438962914872875, 0.12200328516817582, 0.12160941498126415, 0.11507973387664883, 0.1139595988024229, 0.1135883369859218, 0.10603244788021299, 0.09826859886598244, 0.08860754082683975, 0.08424745343669515, 0.08283792298901071, 0.07954221878235157, 0.055258786626047995, 0.042043969347174914, 0.020214919521945707, 0.01949837603599114, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2kr3r/pppq1ppp/8/3pP3/5P2/2N1P3/PP4P1/2KQ4 b - - 0 18,"['d5d4', 'd7e6', 'h7h5', 'c8b8', 'a7a5', 'd7c6', 'h8g8', 'g7g5', 'f7f6', 'd7e8', 'b7b6', 'c7c5', 'h8f8', 'h7h6', 'g7g6', 'c7c6', 'f7f5', 'h8e8', 'd8e8', 'd8g8', 'a7a6', 'd8f8', 'd7e7', 'd7f5', 'b7b5', 'd7a4', 'd7d6', 'd7h3', 'd7b5', 'd7g4']","[0.9286682314002843, 0.9254315531912127, 0.9225879202258773, 0.920726948622784, 0.9190993823813637, 0.9182742197115755, 0.9179974659215383, 0.9179974659215383, 0.9163189534721607, 0.9163189534721607, 0.9134519639532505, 0.910496343170818, 0.9101958264520412, 0.9098944005759381, 0.9095920634631363, 0.9089846472089855, 0.907450014345987, 0.907450014345987, 0.9052624993351271, 0.9052624993351271, 0.9039918030317814, 0.9020571948855387, 0.9010769157808419, 0.8943160689326426, 0.8911427929743677, 0.1799012073028387, 0.17666477329070246, 0.1761298362785808, 0.15869338408054756, 0.15820240791194307]"
rnbqkbnr/p1ppppp1/8/1p5p/6P1/8/PPPPPPBP/RNBQK1NR w KQkq - 0 3,"['g2a8', 'a2a4', 'g4g5', 'd2d4', 'g4h5', 'd2d3', 'c2c4', 'h2h4', 'a2a3', 'b1c3', 'c2c3', 'f2f4', 'b2b3', 'h2h3', 'e2e4', 'e2e3', 'g2f3', 'b1a3', 'e1f1', 'b2b4', 'g1h3', 'g1f3', 'f2f3', 'g2d5', 'g2e4', 'g2h3', 'g2f1', 'g2c6', 'g2b7']","[0.7864161013518403, 0.5740142874632654, 0.5358387144707508, 0.522078114090291, 0.519321294202434, 0.5156437324214209, 0.5156437324214209, 0.5138042910293155, 0.5082839219143761, 0.5064432832995209, 0.5, 0.4733302559691369, 0.46874313267512907, 0.467826316589383, 0.4468118376315084, 0.44408315815517135, 0.4404501867400794, 0.4377296159574105, 0.4359179701815651, 0.43501278527292314, 0.4341080334601539, 0.43139643471891215, 0.35937299492456853, 0.35683385498256776, 0.32702145260719145, 0.29854364172866005, 0.2509451617398634, 0.08283792298901071, 0.0647967765156155]"
r3k2r/pbpn2pp/1p2ppn1/8/3PN3/2PB1P2/PP2NK1P/6RR b kq - 3 16,"['e8f8', 'e8f7', 'a8b8', 'a7a5', 'a8d8', 'a7a6', 'b7d5', 'b7c6', 'a8c8', 'e8e7', 'd7f8', 'h8g8', 'e8g8', 'b7c8', 'h8f8', 'b7e4', 'e8c8', 'e8d8', 'f6f5', 'd7b8', 'g6h4', 'e6e5', 'b6b5', 'g6e7', 'g6f8', 'g6e5', 'd7e5', 'd7c5', 'c7c5', 'c7c6', 'h7h6', 'g6f4', 'h7h5', 'b7a6']","[0.5740142874632654, 0.5704090259445697, 0.5667962794387497, 0.5658919665398462, 0.5649872147270768, 0.5586421525846197, 0.5559168418448287, 0.5550076484124536, 0.5531881623684916, 0.5504562746820834, 0.5385849714102531, 0.5349228039541688, 0.5340066578563346, 0.5184020844121936, 0.5128844269647328, 0.511044443209752, 0.4825172499538834, 0.45775702105393146, 0.45319095389262815, 0.4468118376315084, 0.4286889425850106, 0.4143247132264411, 0.41253886284800134, 0.4089741028083871, 0.32137451728153066, 0.30396910093037527, 0.29777313012875556, 0.2586350767502906, 0.2488744990616516, 0.23141152218477828, 0.16825814846895443, 0.15145771517415685, 0.14540801215840354, 0.1369283400318172]"
r1bqkb1r/pp2pppp/n1p2n2/3p4/3P1B2/P3PN2/1PP2PPP/RN1QKB1R b KQkq - 0 5,"['a6c7', 'f6h5', 'g7g6', 'c8e6', 'a6b8', 'e7e6', 'c8g4', 'd8b6', 'c8f5', 'h7h6', 'f6e4', 'c8d7', 'h7h5', 'b7b6', 'b7b5', 'd8d7', 'f6d7', 'h8g8', 'f6g4', 'd8a5', 'f6g8', 'e8d7', 'c6c5', 'e7e5', 'g7g5', 'a6c5', 'a8b8', 'a6b4', 'c8h3', 'd8d6', 'd8c7']","[0.43139643471891215, 0.4277873846879599, 0.42508560971233006, 0.415218486764101, 0.41164679702450635, 0.40808439067529095, 0.4071952805672289, 0.4071952805672289, 0.4027589492090241, 0.39569407338298884, 0.3939345129435846, 0.392177699072727, 0.3851787270047305, 0.3825661400242328, 0.3816967754233412, 0.37476952142308345, 0.3730455687844096, 0.3678931833857318, 0.3678931833857318, 0.3602211364871788, 0.35683385498256776, 0.35010232921435797, 0.34177138985111283, 0.31181509311084854, 0.28260706642917927, 0.1577126660012219, 0.11248087332490314, 0.1012444276691743, 0.09101535279101453, 0.06390996781621955, 0.06195584660125636]"
r2qkbnr/pp2p1pp/2n2p2/1Bp1P3/3p1Pb1/5N2/PPPP2PP/RNBQK2R b KQkq - 1 7,"['d8d7', 'd8c7', 'g4d7', 'd8b6', 'f6e5', 'a8c8', 'd8d5', 'd8c8', 'e7e6', 'g7g6', 'g4h5', 'h7h5', 'g8h6', 'd4d3', 'f6f5', 'g4e6', 'a8b8', 'h7h6', 'a7a5', 'g4f3', 'c5c4', 'd8b8', 'a7a6', 'd8a5', 'g4f5', 'g7g5', 'g4c8', 'e8d7', 'e8f7', 'g4h3', 'b7b6', 'd8d6']","[0.5285051773118131, 0.5275875538925041, 0.5128844269647328, 0.5092041601288086, 0.5, 0.49539752999711567, 0.48619570897068454, 0.47884068475933794, 0.4714948226881868, 0.44954372531791664, 0.44954372531791664, 0.4468118376315084, 0.43501278527292314, 0.4322998523826144, 0.42508560971233006, 0.4241860033205554, 0.4223883025523238, 0.41164679702450635, 0.40808439067529095, 0.4054188880512549, 0.4045316164166957, 0.40010471851325186, 0.39922126818820586, 0.3939345129435846, 0.3904236728688792, 0.38779794964864106, 0.3869241464463639, 0.3764966567002889, 0.3475931508498015, 0.1458661617291349, 0.0889053425473339, 0.04058571893540408]"
8/R6p/8/1pkB4/4P3/4NP2/1q1NK1P1/8 w - - 0 34,"['a7a6', 'f3f4', 'a7b7', 'a7c7', 'e3c2', 'g2g3', 'a7a2', 'e2d3', 'a7e7', 'a7a1', 'e2d1', 'e2e1', 'd5e6', 'e3d1', 'a7a8', 'e3f5', 'd5a8', 'a7h7', 'a7d7', 'a7f7', 'd5b3', 'e3f1', 'a7a5', 'g2g4', 'd5g8', 'e4e5', 'e3g4', 'd5a2', 'd5f7', 'd5c4', 'd5c6', 'd5b7', 'e3c4', 'a7a3', 'a7g7', 'e2f1', 'a7a4', 'e2f2']","[0.9595574135196636, 0.94953142496586, 0.9462590109431572, 0.9455050916144496, 0.941583816368384, 0.9405629047351268, 0.9397341654156807, 0.9388946215797787, 0.9373990606603658, 0.9367477040415197, 0.9367477040415197, 0.9363099610090452, 0.9343049730980626, 0.9340786082743116, 0.9338515186896837, 0.9336237024046679, 0.933395157477204, 0.9331658819626997, 0.932935873914047, 0.9315403330543057, 0.9310692038259631, 0.9310692038259631, 0.9289117607815935, 0.9281788606935651, 0.9231122304548612, 0.9223245385736566, 0.9209952833572687, 0.9201877790931953, 0.9201877790931953, 0.8977459941661641, 0.8595531287770796, 0.8555047041895522, 0.8461609989808402, 0.7731409791199124, 0.7490548382601366, 0.7434773086886245, 0.5559168418448287, 0.5]"
rnbq1rk1/pppp1pp1/5n1p/2b1p3/2B1P3/3P1N1P/PPP2PP1/RNBQ1RK1 b - - 0 6,"['f8e8', 'd7d6', 'b8c6', 'd8e8', 'd8e7', 'c5d6', 'c7c6', 'd7d5', 'c5b6', 'a7a5', 'a7a6', 'c5d4', 'b7b5', 'c5e7', 'g7g5', 'b8a6', 'c5b4', 'b7b6', 'f6h7', 'g8h7', 'g8h8', 'f6e8', 'h6h5', 'f6h5', 'g7g6', 'f6e4', 'c5f2', 'f6g4', 'c5a3', 'f6d5', 'c5e3']","[0.4926363724400336, 0.4852759384118717, 0.4742482461063748, 0.46141502858974687, 0.45227865991833244, 0.4223883025523238, 0.4018735643137257, 0.40010471851325186, 0.3983384732724953, 0.35937299492456853, 0.3509405771225878, 0.35010232921435797, 0.34926500611173045, 0.32702145260719145, 0.3237883625149461, 0.3237883625149461, 0.3181708609785677, 0.3141903798776102, 0.31339752781910246, 0.29777313012875556, 0.2848519525637597, 0.27446827486685393, 0.2607587561640227, 0.2434088196633245, 0.23802513721984941, 0.17032942052712574, 0.14268414971333432, 0.13867824357894337, 0.10885720702563229, 0.10814488465274963, 0.09101535279101453]"
r2qkb1r/2p3p1/p2pp1Qp/1p1PP3/1nn2PP1/2N2N1P/PP6/R1B2RK1 b kq - 0 18,"['e8d7', 'e8e7']","[0.0, 0.0]"
1r3k1r/5pp1/pq5p/2bB4/1p1N2b1/3P4/1PP2BPP/R3QRK1 w - - 3 20,"['d4b3', 'e1e4', 'e1e3', 'd5f3', 'c2c3', 'g1h1', 'f2e3', 'e1e5', 'd4f3', 'h2h3', 'd4c6', 'd4e2', 'd5f7', 'f2g3', 'd4e6', 'c2c4', 'd5c4', 'd5a2', 'e1d2', 'e1c1', 'a1a4', 'h2h4', 'a1a6', 'a1c1', 'g2g3', 'a1a2', 'd4f5', 'd5b3', 'a1b1', 'd4b5', 'd5e6', 'a1a5', 'e1e6', 'b2b3', 'f2h4', 'e1b1', 'd5e4', 'd5c6', 'a1d1', 'd5a8', 'd5b7', 'e1d1', 'a1a3', 'e1e2', 'e1b4', 'e1e7', 'e1c3', 'e1e8']","[0.907450014345987, 0.9055778121403019, 0.8922097383091949, 0.8845447646163958, 0.8795656272368988, 0.8787833592032835, 0.8768085091513778, 0.8698862377639089, 0.8656616464722748, 0.8559592741390071, 0.8559592741390071, 0.853213948464882, 0.8475934245090255, 0.8442339860303731, 0.8422873339987781, 0.8417975920880569, 0.8417975920880569, 0.8413066159194524, 0.8373342157114151, 0.8312259245929859, 0.8168162598857197, 0.8134874545019302, 0.8134874545019302, 0.8123675424543686, 0.8118056501869602, 0.802055385834644, 0.7967414940195956, 0.7961445499054107, 0.7820549023054933, 0.77635380603982, 0.7705473329662962, 0.7659585393189785, 0.7406582830702547, 0.7356767892949336, 0.7335231920150604, 0.6929058344072113, 0.6881849068891515, 0.6713557948833915, 0.6440107489122191, 0.6303926375862742, 0.6226385940780689, 0.5604570759825421, 0.5422429789460687, 0.5321736834106171, 0.3475931508498015, 0.19619673470860033, 0.1837353232049962, 0.17453266737981438]"
2r2rk1/1p2ppb1/pnn3pp/8/3P4/2N2N2/PBP2PPP/3RK2R b K - 1 18,"['c6b4', 'b6c4', 'f8d8', 'e7e6', 'c8c7', 'f8e8', 'c6a5', 'e7e5', 'g6g5', 'h6h5', 'g8h8', 'c8d8', 'c6d8', 'g7h8', 'c8b8', 'g8h7', 'c8a8', 'b6d7', 'g7f6', 'f7f5', 'f7f6', 'b6a8', 'c6b8', 'c8e8', 'c6a7', 'a6a5', 'c6d4', 'g7d4', 'c6e5', 'b6a4', 'g7e5', 'b6d5']","[0.7378192027018546, 0.7335231920150604, 0.7225890732124075, 0.705297423779081, 0.6999119059295844, 0.6905503390546858, 0.6873942354748303, 0.6842206622885519, 0.6818291390214323, 0.6737883770370706, 0.6705428791057813, 0.6672810362657015, 0.6672810362657015, 0.6664630487993781, 0.6557392814366, 0.6532413731006851, 0.649897670785642, 0.6490594228774123, 0.6490594228774123, 0.6397788635128212, 0.6338176636011208, 0.6312501413084699, 0.6312501413084699, 0.6252304785769166, 0.6243673063917166, 0.6226385940780689, 0.37822693647667593, 0.27154510710718377, 0.23470217892023404, 0.21731815726726345, 0.19852984077617208, 0.16877407540701395]"
r1bqk1nr/pppp1p1p/6p1/3NN3/4P3/P7/P1n1KPPP/5B1R b kq - 0 12,"['d7d6', 'c7c6', 'a8b8', 'g8e7', 'g8f6', 'b7b5', 'c2d4', 'c2a3', 'f7f6', 'c2b4', 'c7c5', 'g8h6', 'h7h5', 'b7b6', 'e8f8', 'f7f5', 'g6g5', 'h7h6', 'c2a1', 'a7a5', 'a7a6', 'c2e1', 'd8g5', 'c2e3', 'd8h4', 'd8e7', 'd8f6']","[0.9787384298283985, 0.9776388244286653, 0.9750922159519535, 0.9748225190310392, 0.9740893461270397, 0.9739962506295924, 0.9737150066864515, 0.9726582407142583, 0.9713560423949132, 0.9709433919824906, 0.9702073380695649, 0.9702073380695649, 0.9690140369288923, 0.9684564504671797, 0.9681172520126624, 0.9680034039486528, 0.9662478051307953, 0.9640182180707271, 0.9619178784411594, 0.9585452476302082, 0.9564477635617783, 0.9555181551859737, 0.9529458654566646, 0.9502325732557166, 0.9482818605709066, 0.9425882628426288, 0.9421884453732745]"
rnbq1rk1/ppppppbp/5np1/8/8/5NP1/PPPPPPBP/RNBQ1RK1 w - - 4 5,"['c2c4', 'c2c3', 'd2d4', 'b1c3', 'f1e1', 'b1a3', 'a2a4', 'h2h3', 'd2d3', 'a2a3', 'e2e3', 'h2h4', 'f3e1', 'f3g5', 'b2b3', 'f3h4', 'f3e5', 'f3d4', 'd1e1', 'g1h1', 'g2h1', 'g2h3', 'b2b4', 'e2e4', 'g3g4']","[0.5174827500461167, 0.5147240615881282, 0.5138042910293155, 0.5046024700028845, 0.5009205189599892, 0.5009205189599892, 0.49079583987119135, 0.48803552438333736, 0.48803552438333736, 0.48619570897068454, 0.48067870579756605, 0.47608474251652944, 0.4742482461063748, 0.4733302559691369, 0.4669097177008696, 0.46141502858974687, 0.45958548047804854, 0.4586711116420767, 0.4568432147802496, 0.45319095389262815, 0.4504550396254112, 0.4504550396254112, 0.44590191339485113, 0.40808439067529095, 0.3343559420193419]"
4k3/5pp1/P3p3/1bQpP1P1/8/8/3K3P/1r6 b - - 0 49,"['b5a6', 'b5d7', 'b1b2', 'b5f1', 'b5c4', 'b5e2', 'b5d3', 'e8d8', 'f7f5', 'b1a1', 'b5a4', 'b1h1', 'g7g6', 'b1b3', 'b1d1', 'e8d7', 'b1b4', 'b5c6', 'f7f6', 'd5d4', 'b1g1', 'b1f1', 'b1c1', 'b1e1']","[0.19619673470860033, 0.1301137622360911, 0.11248087332490314, 0.10361398030487234, 0.1012444276691743, 0.08801463783567065, 0.08539072061698, 0.0851035919775297, 0.07305814559620055, 0.07084547782912387, 0.06940492607857218, 0.06614848131031625, 0.06524446379186621, 0.06325229595848025, 0.06281735969426522, 0.06260093933963423, 0.059026740057327, 0.05861904138401908, 0.055258786626047995, 0.05506687719009473, 0.02014211991772763, 0.01693430937636181, 0.006128642169370646, 0.0]"
2kr3r/pp1q1pp1/2p1n2p/3pP3/P3n3/1QP3P1/1P1BPPKP/RN3R2 b - - 0 17,"['e6g5', 'h6h5', 'd7c7', 'f7f6', 'g7g5', 'c8b8', 'e4c5', 'd8e8', 'f7f5', 'd5d4', 'e6f8', 'a7a6', 'e6c7', 'e4d2', 'e6c5', 'e4g5', 'g7g6', 'd8f8', 'a7a5', 'h8e8', 'c8c7', 'd7e7', 'b7b6', 'd8g8', 'd7e8', 'c6c5', 'h8f8', 'h8h7', 'h8g8', 'e4f2', 'e4g3', 'b7b5', 'e6f4', 'e4d6', 'e4f6', 'e4c3', 'e6d4', 'd7d6']","[0.6640030811678618, 0.6389298484637961, 0.5829922971166973, 0.5658919665398462, 0.5540980866051488, 0.5504562746820834, 0.5468090461073719, 0.5422429789460687, 0.5330902822991305, 0.5321736834106171, 0.5229967635676993, 0.5184020844121936, 0.5119644756166626, 0.5064432832995209, 0.5055228953683342, 0.49631798655933523, 0.4825172499538834, 0.4815979155878063, 0.48067870579756605, 0.47700323643230064, 0.4742482461063748, 0.4669097177008696, 0.46141502858974687, 0.45775702105393146, 0.4513666864926168, 0.4477221183422858, 0.4431743390334964, 0.4404501867400794, 0.4259857125367345, 0.2931742312343752, 0.2924118006869085, 0.2607587561640227, 0.2579296914716822, 0.23470217892023404, 0.22685902088008758, 0.22492742421785805, 0.14089196637896895, 0.08713200331229709]"
r1b1k3/pppp2pp/2n3q1/3Q2N1/8/6K1/P5PP/7R w - - 4 18,"['h1e1', 'd5g8', 'g3h4', 'g3f2', 'h2h3', 'h1f1', 'a2a4', 'a2a3', 'h2h4', 'g3f3', 'h1a1', 'g3f4', 'h1d1', 'd5b5', 'h1b1', 'h1g1', 'h1c1', 'g3h3', 'd5d2', 'd5c5', 'd5e4', 'd5f7', 'g3g4', 'd5b3', 'd5f3', 'd5c4', 'd5d1', 'd5a5', 'd5f5', 'd5c6', 'd5d3', 'd5d4', 'd5d7', 'd5e6', 'd5e5', 'd5d6']","[0.603425129353426, 0.33517593247566096, 0.15051371328484564, 0.14133824015919433, 0.1400029530333191, 0.1369283400318172, 0.13562813456382855, 0.13391073492623923, 0.13391073492623923, 0.1301137622360911, 0.11773067562385076, 0.1165881370128245, 0.11545523538360414, 0.1139595988024229, 0.11284897623993229, 0.11029421425487995, 0.10429994894276634, 0.10361398030487234, 0.10024370428970547, 0.09859535787713025, 0.09317031936972209, 0.08713200331229709, 0.08539072061698, 0.08396381614947102, 0.08144987765416223, 0.08117482411679905, 0.06637629759533209, 0.04607336098600967, 0.025633309841694096, 0.023685983805217914, 0.017494910393832497, 0.015865561740919076, 0.014917255089700376, 0.012083376022229197, 0.010952400103552695, 0.009818243908204072]"
r2qk2r/ppp1nppp/2np4/2b1p3/2B1P1b1/2PP1N2/PP3PPP/RNBQ1RK1 w kq - 1 7,"['c4f7', 'b2b4', 'a2a4', 'd3d4', 'b1d2', 'h2h3', 'd1e2', 'f1e1', 'a2a3', 'g1h1', 'b1a3', 'c4b3', 'c1e3', 'c1d2', 'c1g5', 'b2b3', 'c4b5', 'd1b3', 'c4d5', 'h2h4', 'd1d2', 'd1e1', 'd1a4', 'g2g3', 'd1c2', 'c1f4', 'f3e5', 'f3g5', 'c1h6', 'c4e6', 'c4a6', 'f3h4', 'f3d2', 'f3d4', 'f3e1']","[0.7225890732124075, 0.6515713880482262, 0.6148212729952696, 0.5731136939018822, 0.5586421525846197, 0.5504562746820834, 0.5358387144707508, 0.5321736834106171, 0.5266697440308632, 0.5266697440308632, 0.522078114090291, 0.5184020844121936, 0.5147240615881282, 0.5064432832995209, 0.5036820134406647, 0.5027615319200139, 0.48987566402915633, 0.4386360651319824, 0.43501278527292314, 0.4232868990440539, 0.41879910735532644, 0.4018735643137257, 0.3939345129435846, 0.3939345129435846, 0.38605107056395144, 0.2366920834084017, 0.17666477329070246, 0.1698097103394629, 0.16620701810552085, 0.13391073492623923, 0.12398914293212276, 0.08683957548832155, 0.08117482411679905, 0.08090061761863632, 0.06005764149544496]"
r1b1k1nr/1pp1qppp/p1pb4/4P3/4P3/5N2/PPP2PPP/RNBQ1RK1 b kq - 0 7,"['d6e5', 'd6c5', 'd6b4', 'c8g4', 'g8f6', 'e7d7', 'e7e6', 'c8e6', 'h7h5', 'a6a5', 'e7d8', 'h7h6', 'c6c5', 'e7f8', 'c8d7', 'b7b5', 'f7f6', 'b7b6', 'a8b8', 'g7g5', 'd6a3', 'g8h6', 'e7e5', 'g7g6', 'c8h3', 'e8f8', 'f7f5', 'a8a7', 'e8d8', 'e8d7', 'c8f5', 'e7f6', 'e7h4', 'e7g5']","[0.41611281849809095, 0.3551455424350716, 0.3047486873684638, 0.11811367252912824, 0.1165881370128245, 0.11174781242532256, 0.11174781242532256, 0.11138285043817636, 0.1085005324218955, 0.10779026169080513, 0.10743666150648551, 0.10708408206807812, 0.10603244788021299, 0.10464443579540594, 0.10259250923752877, 0.10225400583383587, 0.10225400583383587, 0.09826859886598244, 0.09505375590046167, 0.09410781540650409, 0.09101535279101453, 0.09071118696593633, 0.0904079365368638, 0.08625738291273272, 0.08368104652783925, 0.08283792298901071, 0.08200253407846159, 0.08090061761863632, 0.07559120864726726, 0.06893079617403686, 0.0659213917256884, 0.04805473429758533, 0.04189591869906967, 0.02947502276402425]"
3r4/pp1r1kpp/5p2/3N4/2P3P1/1P3K2/P6P/4R3 w - - 1 32,"['h2h4', 'e1b1', 'e1f1', 'e1d1', 'e1g1', 'e1c1', 'e1a1', 'a2a3', 'a2a4', 'e1e4', 'f3f4', 'e1h1', 'e1e3', 'h2h3', 'f3g3', 'e1e2', 'd5f4', 'f3f2', 'f3g2', 'g4g5', 'd5e3', 'd5b4', 'f3e2', 'f3e3', 'b3b4', 'd5c3', 'd5f6', 'd5c7', 'c4c5', 'd5e7', 'e1e7', 'd5b6', 'f3e4', 'e1e6', 'e1e5', 'e1e8']","[0.2262138557091269, 0.21234958051732766, 0.21173437828081765, 0.2074644899708633, 0.2074644899708633, 0.2062562611938536, 0.2050532483330516, 0.20147549095983824, 0.20088375754720622, 0.20088375754720622, 0.19619673470860033, 0.1956167070159846, 0.19503797801426692, 0.1938844142805335, 0.18707185632643297, 0.17935860527856373, 0.17881728296347305, 0.1777384739863237, 0.17189613488694255, 0.16417595629270143, 0.16066965780092213, 0.1596790445050985, 0.15288283121406654, 0.15145771517415685, 0.15098510766141626, 0.148174886276199, 0.09794280511446124, 0.08950365682918204, 0.0889053425473339, 0.08831063994889787, 0.08481733928130131, 0.08396381614947102, 0.06845966694569416, 0.06729486861836093, 0.06706412608595291, 0.05801244208956258]"
r3r1k1/p3pp1p/1qp3p1/R2p1b2/1P1P4/P1Q1P1P1/5PBP/2R3K1 b - - 9 26,"['a8c8', 'e8c8', 'e8d8', 'h7h5', 'h7h6', 'a8b8', 'a8d8', 'e8b8', 'b6b7', 'f5d7', 'e8f8', 'f5e6', 'f5g4', 'a7a6', 'b6d8', 'g8f8', 'b6b8', 'g8h8', 'f7f6', 'e7e6', 'g8g7', 'g6g5', 'e7e5', 'f5e4', 'f5c8', 'b6c7', 'c6c5', 'b6b5', 'f5b1', 'f5c2', 'b6a5', 'f5d3', 'f5h3', 'b6b4', 'b6c5', 'b6d4', 'b6a6']","[0.3721847977876407, 0.36532817385496535, 0.36532817385496535, 0.36447485800156987, 0.35937299492456853, 0.3585257312416039, 0.3450924067173986, 0.3434299837156404, 0.3392907477206131, 0.3392907477206131, 0.33681889732873044, 0.32864420511660863, 0.32459507444197383, 0.32137451728153066, 0.3189701789020309, 0.30787822162318473, 0.3047486873684638, 0.3047486873684638, 0.29393782392203827, 0.2916505347851929, 0.29089043601136866, 0.28861716692764805, 0.25652269131137545, 0.22880230865038653, 0.2262138557091269, 0.19619673470860033, 0.14771073929444967, 0.1280441483889645, 0.11583180176076446, 0.11284897623993229, 0.10638197729176951, 0.10464443579540594, 0.10024370428970547, 0.08117482411679905, 0.06238521496986116, 0.06217018468833663, 0.05449490838555032]"
